Names,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
MRACRG9248M2_10000_smooth,0.01752,0.04153,0.05969,0.07398,0.08751,0.1011
MRACRG9248M2_10000_smooth2.1,0.01411,0.03536,0.05295,0.06753,0.0802,0.09268
MRACRG9248M2_20000_smooth,0.0209,0.04492,0.06047,0.07459,0.08888,0.1026
MRACRG9248M2_20000_smooth2.1,0.02333,0.04858,0.065,0.07908,0.09364,0.1091
MRACRG928M2_10000_smooth,0.01045,0.02858,0.04642,0.06194,0.07501,0.08733
MRACRG928M2_10000_smooth2.1,0.008531,0.0249,0.04195,0.05705,0.07009,0.08275
MRACRG928M2_20000_smooth,0.01414,0.03331,0.04936,0.06348,0.0767,0.08807
MRACRG928M2_20000_smooth2.1,0.0111,0.02879,0.04454,0.05792,0.07102,0.08234
NMNH241232delaunayM2_10000_smooth,0.01212,0.03313,0.05368,0.07204,0.08922,0.1046
NMNH241232delaunayM2_10000_smooth2.1,0.01017,0.02921,0.04911,0.06743,0.08444,0.09942
NMNH241232delaunayM2_20000_smooth,0.01631,0.04025,0.05961,0.0769,0.09384,0.1085
NMNH241232delaunayM2_20000_smooth2.1,0.01399,0.03643,0.05567,0.0726,0.08937,0.1039
NMNH395636delaunayM2_10000_smooth,0.009345,0.02672,0.04494,0.06136,0.0758,0.08823
NMNH395636delaunayM2_10000_smooth2.1,0.008074,0.02402,0.04156,0.05761,0.07164,0.08377
NMNH395636delaunayM2_20000_smooth,0.01182,0.03094,0.04826,0.06333,0.07606,0.08834
NMNH395636delaunayM2_20000_smooth2.1,0.01026,0.02836,0.04559,0.06058,0.07366,0.08537
NMNH396935delaunayM2_10000_smooth,0.0105,0.02935,0.04952,0.06776,0.08353,0.09675
NMNH396935delaunayM2_10000_smooth2.1,0.008951,0.0261,0.04541,0.06338,0.07914,0.09223
NMNH396935delaunayM2_20000_smooth,0.0133,0.03472,0.05394,0.07045,0.08544,0.0988
NMNH396935delaunayM2_20000_smooth2.1,0.01098,0.03056,0.04938,0.06615,0.08087,0.09375
NMNH396936delaunayM2_10000_smooth,0.01338,0.03521,0.05462,0.07104,0.08636,0.1011
NMNH396936delaunayM2_10000_smooth2.1,0.01105,0.03045,0.04895,0.06491,0.0804,0.09476
NMNH396936delaunayM2_20000_smooth,0.01839,0.04267,0.06102,0.07729,0.09364,0.1103
NMNH396936delaunayM2_20000_smooth2.1,0.01287,0.03353,0.05143,0.0666,0.08148,0.0966
NMNH397358delaunayM2_10000_smooth,0.009556,0.02782,0.04697,0.06491,0.08167,0.09566
NMNH397358delaunayM2_10000_smooth2.1,0.008146,0.02489,0.04329,0.06066,0.07713,0.09124
NMNH397358delaunayM2_20000_smooth,0.01203,0.03189,0.05036,0.06665,0.08233,0.09615
NMNH397358delaunayM2_20000_smooth2.1,0.01056,0.02928,0.04744,0.06376,0.07955,0.09332
NMNH545032delaunayM2_10000_smooth,0.01092,0.03001,0.0496,0.06813,0.08537,0.1002
NMNH545032delaunayM2_10000_smooth2.1,0.009274,0.0267,0.04554,0.06323,0.08029,0.09525
NMNH545032delaunayM2_20000_smooth,0.01387,0.03445,0.05254,0.0704,0.08639,0.1016
NMNH545032delaunayM2_20000_smooth2.1,0.01196,0.03132,0.04933,0.06686,0.083,0.09721
NMNH545034delaunayM2_10000_smooth,0.00876,0.02594,0.04488,0.06297,0.07946,0.09344
NMNH545034delaunayM2_10000_smooth2.1,0.00759,0.02335,0.04159,0.0595,0.07604,0.08987
NMNH545034delaunayM2_20000_smooth,0.0103,0.02876,0.0468,0.06333,0.07824,0.09192
NMNH545034delaunayM2_20000_smooth2.1,0.009136,0.0266,0.04442,0.06102,0.0761,0.08953
NMNH545036delaunayM2_10000_smooth,0.008781,0.02524,0.04237,0.05828,0.072,0.08407
NMNH545036delaunayM2_10000_smooth2.1,0.007483,0.02255,0.03901,0.05477,0.06831,0.08021
NMNH545036delaunayM2_20000_smooth,0.0114,0.0294,0.04585,0.06062,0.0736,0.08549
NMNH545036delaunayM2_20000_smooth2.1,0.009856,0.02679,0.04295,0.05785,0.07085,0.0823
NMNH545037delaunayM2_10000_smooth,0.00859,0.02482,0.04127,0.05601,0.06973,0.08352
NMNH545037delaunayM2_10000_smooth2.1,0.007392,0.02219,0.03806,0.05286,0.06635,0.08031
NMNH545037delaunayM2_20000_smooth,0.01079,0.02872,0.04437,0.05813,0.07114,0.08442
NMNH545037delaunayM2_20000_smooth2.1,0.009484,0.02639,0.04192,0.05572,0.06883,0.08232
RG23509delaunayM2_10000_smooth,0.006013,0.01811,0.03146,0.0442,0.05531,0.06467
RG23509delaunayM2_10000_smoothpt2.1,0.005123,0.01627,0.02928,0.04197,0.0531,0.06213
RG23509delaunayM2_20000_smooth,0.009438,0.02247,0.03397,0.04459,0.05395,0.06307
RG23509delaunayM2_20000_smooth2.1,0.009438,0.02247,0.03397,0.04459,0.05395,0.06307
RG29047delaunayM2_10000_smooth,0.007009,0.02073,0.03572,0.05029,0.06375,0.07565
RG29047delaunayM2_10000_smoothpt2.1,0.006027,0.01869,0.03326,0.0477,0.0612,0.07283
RG29047delaunayM2_20000_smooth,0.009414,0.02392,0.0375,0.05023,0.06151,0.07204
RG29047delaunayM2_20000_smooth2.1,0.008111,0.02187,0.03552,0.04846,0.0598,0.07007
RG29057delaunayM2_10000_smooth,0.00851,0.02416,0.0394,0.05278,0.06484,0.07749
RG29057delaunayM2_10000_smoothpt2.1,0.007136,0.02136,0.03615,0.0496,0.06147,0.07386
RG29057delaunayM2_20000_smooth,0.01278,0.02941,0.04217,0.05339,0.0643,0.07508
RG29057delaunayM2_20000_smooth2.1,0.01064,0.02637,0.03927,0.0505,0.06162,0.07227
RG29060delaunayM2_10000_smooth,0.008919,0.02513,0.04154,0.05711,0.07155,0.08452
RG29060delaunayM2_10000_smoothpt2.1,0.007565,0.02241,0.0383,0.05371,0.06832,0.08109
RG29060delaunayM2_20000_smooth,0.01209,0.02903,0.04453,0.05882,0.07237,0.08672
RG29060delaunayM2_20000_smooth2.1,0.01027,0.02636,0.04189,0.05623,0.06953,0.08326
RG29062delaunayM2_10000_smooth,0.012,0.03097,0.04786,0.06308,0.07652,0.08799
RG29062delaunayM2_10000_smoothpt2.1,0.009638,0.02671,0.04325,0.05791,0.07106,0.08175
RG29062delaunayM2_20000_smooth,0.01955,0.04043,0.05475,0.0681,0.08052,0.09256
RG29062delaunayM2_20000_smooth2.1,0.01576,0.03545,0.0497,0.0625,0.07482,0.08581
SAPM1981-134pt2delaunayM2_10000_smooth,0.008184,0.02299,0.03665,0.04733,0.05584,0.06364
SAPM1981-134pt2delaunayM2_10000_smooth2.1,0.006747,0.01995,0.03303,0.04378,0.05247,0.06
SAPM1981-134pt2delaunayM2_20000_smooth,0.01207,0.02876,0.04066,0.04912,0.05594,0.0641
SAPM1981-134pt2delaunayM2_20000_smooth2.1,0.01013,0.02569,0.03756,0.04623,0.05298,0.06067
SAPM1981-136delaunayM2_10000_smooth,0.01241,0.03016,0.04412,0.05549,0.0651,0.07256
SAPM1981-136delaunayM2_10000_smooth2.1,0.009949,0.02546,0.03915,0.05089,0.06058,0.06759
SAPM1981-136delaunayM2_20000_smooth,0.02053,0.04096,0.05312,0.064,0.0726,0.08012
SAPM1981-136delaunayM2_20000_smooth2.1,0.01644,0.03515,0.04649,0.05588,0.06439,0.07184
SAPM1981-136delaunayM2_20000_smooth2.2,0.01259,0.02926,0.04094,0.05036,0.05798,0.06452
SAPM1981-30delaunayM2_10000_smooth,0.0113,0.02938,0.04502,0.05773,0.06872,0.08056
SAPM1981-30delaunayM2_10000_smooth2.1,0.009055,0.02507,0.0403,0.0532,0.06385,0.07447
SAPM1981-30delaunayM2_20000_smooth,0.01693,0.03761,0.05107,0.0622,0.07481,0.08783
SAPM1981-30delaunayM2_20000_smooth2.1,0.01399,0.03327,0.04696,0.05735,0.0692,0.08172
SAPM1981-41delaunayM2pt2_10000_smooth,0.008337,0.02213,0.03593,0.04868,0.0605,0.0719
SAPM1981-41delaunayM2pt2_10000_smooth2.1,0.006823,0.01932,0.03268,0.04548,0.05731,0.06813
SAPM1981-41delaunayM2pt2_20000_smooth,0.01279,0.02868,0.04096,0.05206,0.06421,0.07586
SAPM1981-41delaunayM2pt2_20000_smooth2.1,0.008999,0.02288,0.03548,0.04706,0.05819,0.06892
SAPM1981-45delaunayM2_10000_smooth,0.007951,0.02163,0.03495,0.04703,0.05774,0.0671
SAPM1981-45delaunayM2_10000_smooth2.1,0.006563,0.01885,0.03174,0.04382,0.05413,0.06365
SAPM1981-45delaunayM2_20000_smooth,0.01149,0.02654,0.03811,0.048,0.05704,0.06689
SAPM1981-45delaunayM2_20000_smooth2.1,0.009548,0.02364,0.03548,0.04554,0.05497,0.06392
SAPM1981-47delaunayM2_10000_smooth,0.01222,0.03056,0.04493,0.05541,0.06482,0.0749
SAPM1981-47delaunayM2_10000_smooth2.1,0.009653,0.0257,0.03957,0.05018,0.05958,0.06881
SAPM1981-47delaunayM2_20000_smooth,0.02043,0.04257,0.05562,0.06642,0.07772,0.08973
SAPM1981-47delaunayM2_20000_smooth2.1,0.01659,0.03686,0.04952,0.05898,0.06882,0.07961
SAPM1981-49delaunayM2_10000_smooth,0.01387,0.03407,0.05072,0.06361,0.07539,0.08602
SAPM1981-49delaunayM2_10000_smooth2.1,0.01098,0.02892,0.04496,0.05825,0.06969,0.07918
SAPM1981-49delaunayM2_20000_smooth,0.02563,0.04955,0.06383,0.0761,0.08839,0.1005
SAPM1981-49delaunayM2_20000_smooth2.1,0.02041,0.04243,0.0565,0.06839,0.07902,0.0901
SAPM1981-68delaunayM2_10000_smooth,0.01466,0.03375,0.04971,0.0626,0.07408,0.08461
SAPM1981-68delaunayM2_10000_smooth2.1,0.01184,0.02921,0.04413,0.05645,0.06799,0.0789
SAPM1981-68delaunayM2_20000_smooth,0.02207,0.04421,0.05882,0.07094,0.08297,0.09446
SAPM1981-68delaunayM2_20000_smooth2.1,0.01816,0.03882,0.05345,0.06557,0.07683,0.08792
SAPM1981-69delaunayM2_10000_smooth,0.01228,0.02976,0.0434,0.05382,0.06236,0.06986
SAPM1981-69delaunayM2_10000_smooth2.1,0.00969,0.02495,0.03786,0.04829,0.0569,0.06398
SAPM1981-69delaunayM2_20000_smooth,0.01936,0.04037,0.05269,0.06159,0.07053,0.07921
SAPM1981-69delaunayM2_20000_smooth2.1,0.0158,0.03492,0.04709,0.05583,0.06398,0.07196
SAPM1981-69delaunayM2pt2_10000_smooth,0.0104,0.02636,0.03893,0.04936,0.05873,0.0661
SAPM1981-69delaunayM2pt2_10000_smooth2.1,0.008211,0.02219,0.03444,0.04499,0.05425,0.06187
SAPM1981-69delaunayM2pt2_20000_smooth,0.0171,0.03643,0.04761,0.05672,0.06552,0.07365
SAPM1981-69delaunayM2pt2_20000_smooth2.1,0.01386,0.03141,0.04264,0.05142,0.05959,0.06677
SAPM1981-82delaunayM2_10000_smooth,0.005868,0.01852,0.03232,0.04405,0.053,0.06015
SAPM1981-82delaunayM2_10000_smooth2.1,0.005086,0.01663,0.0298,0.04138,0.05041,0.0573
SAPM1981-82delaunayM2_20000_smooth,0.00764,0.0212,0.03387,0.04422,0.05218,0.05911
SAPM1981-82delaunayM2_20000_smooth2.1,0.006665,0.01953,0.03214,0.0426,0.0506,0.05724
